podcast_id;guest_id;date;amount;name;creation_date;title;category;sponsor_id;extra_info;subject
150;983;12/01/2020;246;Anderson, Mcguire and Burke;02/01/2020;Beat;research;Sem Patrocinador;N/A;Health
221;125;12/01/2020;1284;Brown and Sons;02/01/2020;Recently;drop;Sem Patrocinador;N/A;Technology
303;485;12/01/2020;4500;Sanchez Ltd;02/01/2020;Mind;seat;89.0;live;Science
94;457;13/01/2020;2498;Suarez, Jones and Miller;03/01/2020;Find;yourself;23.0;relationship;Culture
440;115;13/01/2020;2644;Garcia Group;03/01/2020;Note;reality;165.0;central;Culture
392;442;13/01/2020;2311;Barton Inc;03/01/2020;Head;should;4.0;interview;Business
59;775;14/01/2020;4100;Waller and Sons;04/01/2020;Its;news;72.0;fire;Health
54;229;14/01/2020;4201;Edwards Group;04/01/2020;Over;of;Sem Patrocinador;N/A;Education
273;611;14/01/2020;4006;Long-Meyers;04/01/2020;Month;hair;Sem Patrocinador;N/A;Health
488;548;15/01/2020;2331;Cruz, Martinez and Logan;05/01/2020;Friend;medical;Sem Patrocinador;N/A;Sports
345;978;15/01/2020;3871;Miller, Clark and Hicks;05/01/2020;Moment;sometimes;Sem Patrocinador;N/A;Environment
399;568;15/01/2020;1322;Mendoza PLC;05/01/2020;Also;they;66.0;how;Technology
69;602;16/01/2020;1387;Martinez Inc;06/01/2020;Hour;old;98.0;several;Technology
234;212;16/01/2020;1964;Leon and Sons;06/01/2020;Attorney;smile;Sem Patrocinador;N/A;Health
143;595;16/01/2020;4103;Davis-Dillon;06/01/2020;Wear;side;Sem Patrocinador;N/A;Culture
327;623;17/01/2020;2794;Johnson PLC;07/01/2020;Occur;sea;Sem Patrocinador;N/A;Culture
206;889;17/01/2020;2504;Marsh-Ramirez;07/01/2020;Behavior;finish;26.0;town;Education
417;417;17/01/2020;4572;Perez Group;07/01/2020;Live;effort;Sem Patrocinador;N/A;Sports
7;396;18/01/2020;4439;Arnold-Griffith;08/01/2020;Wrong;agency;Sem Patrocinador;N/A;Technology
118;184;18/01/2020;2375;Chase-Jennings;08/01/2020;Matter;organization;112.0;soldier;Education
330;175;18/01/2020;2924;Snyder Inc;08/01/2020;Tough;hotel;169.0;late;Culture
417;911;19/01/2020;4330;Perez Group;09/01/2020;Trial;go;Sem Patrocinador;N/A;Sports
426;604;19/01/2020;4541;Castillo, Knight and Davis;09/01/2020;Office;time;Sem Patrocinador;N/A;Education
335;597;19/01/2020;4535;Martin-Kaiser;09/01/2020;Along;television;Sem Patrocinador;N/A;Environment
176;896;20/01/2020;1907;Perry Group;10/01/2020;One;hundred;156.0;data;Culture
252;333;20/01/2020;3751;Martinez, Ward and Hughes;10/01/2020;Safe;leave;Sem Patrocinador;N/A;Entertainment
355;417;20/01/2020;4001;Pollard, Phillips and Hill;10/01/2020;Live;effort;Sem Patrocinador;N/A;Sports
135;180;21/01/2020;4393;West-Smith;11/01/2020;Fast;various;Sem Patrocinador;N/A;Science
293;986;21/01/2020;709;Mejia LLC;11/01/2020;Play;TV;Sem Patrocinador;N/A;Technology
35;308;21/01/2020;3310;Trevino, Bennett and Wilkinson;11/01/2020;Later;raise;152.0;care;Business
202;50;22/01/2020;4842;Cox Inc;12/01/2020;Notice;peace;Sem Patrocinador;N/A;Environment
82;717;22/01/2020;4168;Wright, Allen and Evans;12/01/2020;Cover;person;Sem Patrocinador;N/A;Politics
491;741;22/01/2020;1402;Wilson Ltd;12/01/2020;Its;nation;Sem Patrocinador;N/A;Science
368;261;23/01/2020;2537;Young, Collins and Vazquez;13/01/2020;Across;tonight;Sem Patrocinador;N/A;Business
399;806;23/01/2020;630;Mendoza PLC;13/01/2020;Person;method;66.0;how;Technology
327;610;23/01/2020;2102;Johnson PLC;13/01/2020;Study;hour;Sem Patrocinador;N/A;Culture
58;12;24/01/2020;4951;Kennedy, Hayes and Ferguson;14/01/2020;Nation;beat;171.0;author;Culture
117;112;24/01/2020;2317;Cook, Jackson and Gray;14/01/2020;One;final;181.0;life;Politics
444;960;24/01/2020;4082;White-Mathis;14/01/2020;Wind;capital;Sem Patrocinador;N/A;Health
267;671;25/01/2020;3026;Smith-Allen;15/01/2020;Music;side;Sem Patrocinador;N/A;Health
146;756;25/01/2020;4143;Welch-Curry;15/01/2020;Clearly;him;Sem Patrocinador;N/A;Environment
251;341;25/01/2020;2079;Johnson PLC;15/01/2020;Coach;whom;Sem Patrocinador;N/A;Health
352;587;26/01/2020;897;Lane LLC;16/01/2020;Author;medical;Sem Patrocinador;N/A;Politics
88;636;26/01/2020;4526;Johnson, Jackson and Franklin;16/01/2020;Soon;behavior;Sem Patrocinador;N/A;Politics
257;75;26/01/2020;3336;Miller-Evans;16/01/2020;Writer;simply;Sem Patrocinador;N/A;Sports
215;307;27/01/2020;198;Butler Inc;17/01/2020;On;identify;Sem Patrocinador;N/A;Science
350;940;27/01/2020;2755;Harrell Ltd;17/01/2020;Nothing;institution;Sem Patrocinador;N/A;Technology
284;233;27/01/2020;2062;Thomas-Cain;17/01/2020;Carry;take;Sem Patrocinador;N/A;Entertainment
21;497;28/01/2020;2055;Stevens-Walters;18/01/2020;Wish;difficult;93.0;drive;Education
21;497;28/01/2020;2055;Stevens-Walters;18/01/2020;Wish;difficult;199.0;soon;Education
167;546;28/01/2020;3606;Bell-Mcmahon;18/01/2020;Thought;everything;Sem Patrocinador;N/A;Health
82;630;29/01/2020;2180;Wright, Allen and Evans;19/01/2020;Republican;realize;Sem Patrocinador;N/A;Politics
401;507;29/01/2020;2175;Barnes-Forbes;19/01/2020;Business;director;Sem Patrocinador;N/A;Environment
175;199;29/01/2020;4651;Reed Ltd;19/01/2020;Interest;raise;151.0;able;Health
87;525;30/01/2020;4834;Mccullough LLC;20/01/2020;Ready;summer;166.0;tax;Education
215;597;30/01/2020;3102;Butler Inc;20/01/2020;Along;television;Sem Patrocinador;N/A;Science
82;773;30/01/2020;4518;Wright, Allen and Evans;20/01/2020;Stand;effort;Sem Patrocinador;N/A;Politics
257;807;31/01/2020;595;Miller-Evans;21/01/2020;Compare;away;Sem Patrocinador;N/A;Sports
362;704;31/01/2020;4911;Jones-Lee;21/01/2020;Yet;course;Sem Patrocinador;N/A;Science
427;860;31/01/2020;3658;Cruz-Perry;21/01/2020;Road;weight;Sem Patrocinador;N/A;Sports
438;145;01/02/2020;4649;Eaton, Hall and Robles;22/01/2020;Whose;interview;Sem Patrocinador;N/A;Politics
52;350;01/02/2020;4550;Mclaughlin-Cole;22/01/2020;In;believe;Sem Patrocinador;N/A;Sports
484;245;01/02/2020;2993;Garcia, Farley and Barber;22/01/2020;Generation;tell;Sem Patrocinador;N/A;Culture
137;162;02/02/2020;1876;Miles, Boyer and Griffin;23/01/2020;Go;before;163.0;environmental;Health
142;541;02/02/2020;4332;Arroyo LLC;23/01/2020;Thank;garden;Sem Patrocinador;N/A;Technology
260;388;02/02/2020;1398;Aguilar, Ferrell and Valentine;23/01/2020;Number;total;Sem Patrocinador;N/A;Culture
169;362;03/02/2020;2226;Allen Group;24/01/2020;Close;eye;Sem Patrocinador;N/A;Science
481;589;03/02/2020;3342;Rosales Group;24/01/2020;Space;recognize;Sem Patrocinador;N/A;Health
361;903;03/02/2020;4441;Perez-Owens;24/01/2020;Set;talk;69.0;management;Culture
415;574;04/02/2020;1434;Johnson-Fuller;25/01/2020;Specific;unit;99.0;middle;Health
57;745;04/02/2020;1044;Lopez, Kelly and Jones;25/01/2020;Really;stop;Sem Patrocinador;N/A;Environment
403;372;04/02/2020;3918;Santos-Smith;25/01/2020;Seven;better;Sem Patrocinador;N/A;Science
97;238;05/02/2020;3370;Harris, Brooks and Stephenson;26/01/2020;Face;dinner;Sem Patrocinador;N/A;Entertainment
447;460;05/02/2020;3578;Wright PLC;26/01/2020;Than;during;Sem Patrocinador;N/A;Politics
390;229;05/02/2020;3873;Vargas-Kane;26/01/2020;Over;of;Sem Patrocinador;N/A;Business
116;106;06/02/2020;3426;Forbes, Weaver and Morales;27/01/2020;General;address;Sem Patrocinador;N/A;Politics
