podcast_id;guest_id;date;amount;name;creation_date;title;category;sponsor_id;extra_info;subject
150;983;21/03/2024;246;Anderson, Mcguire and Burke;07/11/2023;Beat;research;;;Health
221;125;22/10/2022;1284;Brown and Sons;12/09/2023;Recently;drop;;;Technology
303;485;25/12/2021;4500;Sanchez Ltd;17/10/2024;Mind;seat;89.0;live;Science
94;457;08/12/2020;2498;Suarez, Jones and Miller;09/09/2025;Find;yourself;23.0;relationship;Culture
440;115;25/10/2025;2644;Garcia Group;02/06/2023;Note;reality;165.0;central;Culture
392;442;19/06/2020;2311;Barton Inc;12/05/2022;Head;should;4.0;interview;Business
59;775;22/10/2023;4100;Waller and Sons;04/09/2024;Its;news;72.0;fire;Health
54;229;23/02/2025;4201;Edwards Group;28/01/2023;Over;of;;;Education
273;611;13/03/2022;4006;Long-Meyers;29/11/2021;Month;hair;;;Health
488;548;01/03/2023;2331;Cruz, Martinez and Logan;05/01/2024;Friend;medical;;;Sports
345;978;01/04/2024;3871;Miller, Clark and Hicks;27/06/2021;Moment;sometimes;;;Environment
399;568;17/02/2025;1322;Mendoza PLC;06/04/2024;Also;they;66.0;how;Technology
69;602;08/07/2020;1387;Martinez Inc;19/01/2024;Hour;old;98.0;several;Technology
234;212;08/10/2025;1964;Leon and Sons;11/11/2022;Attorney;smile;;;Health
143;595;30/12/2021;4103;Davis-Dillon;06/06/2022;Wear;side;;;Culture
327;623;29/11/2025;2794;Johnson PLC;19/08/2025;Occur;sea;;;Culture
206;889;26/01/2022;2504;Marsh-Ramirez;16/09/2021;Behavior;finish;26.0;town;Education
417;417;22/09/2025;4572;Perez Group;23/05/2021;Live;effort;;;Sports
7;396;15/06/2022;4439;Arnold-Griffith;06/06/2024;Wrong;agency;;;Technology
118;184;18/11/2023;2375;Chase-Jennings;27/09/2022;Matter;organization;112.0;soldier;Education
330;175;26/07/2024;2924;Snyder Inc;29/10/2025;Tough;hotel;169.0;late;Culture
417;911;29/05/2025;4330;Perez Group;23/05/2021;Trial;go;;;Sports
426;604;20/08/2021;4541;Castillo, Knight and Davis;01/01/2022;Office;time;;;Education
335;597;17/06/2022;4535;Martin-Kaiser;29/11/2021;Along;television;;;Environment
176;896;29/01/2023;1907;Perry Group;13/02/2025;One;hundred;156.0;data;Culture
252;333;14/09/2025;3751;Martinez, Ward and Hughes;07/09/2023;Safe;leave;;;Entertainment
355;417;09/06/2025;4001;Pollard, Phillips and Hill;09/01/2025;Live;effort;;;Sports
135;180;31/03/2025;4393;West-Smith;05/02/2022;Fast;various;;;Science
293;986;02/05/2022;709;Mejia LLC;08/12/2023;Play;TV;;;Technology
35;308;22/11/2022;3310;Trevino, Bennett and Wilkinson;22/01/2024;Later;raise;152.0;care;Business
202;50;21/04/2020;4842;Cox Inc;23/05/2025;Notice;peace;;;Environment
82;717;13/05/2022;4168;Wright, Allen and Evans;30/11/2023;Cover;person;;;Politics
491;741;16/07/2022;1402;Wilson Ltd;14/06/2025;Its;nation;;;Science
368;261;08/10/2025;2537;Young, Collins and Vazquez;29/04/2024;Across;tonight;;;Business
399;806;11/09/2021;630;Mendoza PLC;06/04/2024;Person;method;66.0;how;Technology
